10.2	719.36	729.56	17984	18239	Francesca Archibugi
8	729.6	737.6	18240	18440	Giorgio Nardone
21.56	737.64	759.2	18441	18980	David Sassoli
7.52	759.24	766.76	18981	19169	Maria Soave
35.8	766.8	802.6	19170	20065	Giuseppe Conte
9.4	802.64	812.04	20066	20301	Alessio Zucchini
14.52	812.08	826.6	20302	20665	Gina Lollobrigida
171.2	826.64	997.84	20666	24946	Bill Gates
16.76	997.88	1014.64	24947	25366	Mara Venier
9.92	1014.68	1024.6	25367	25615	Luca Zingaretti
5	1024.64	1029.64	25616	25741	Donald Trump
16.8	1029.68	1046.48	25742	26162	Flavio Insinna
13.96	1046.52	1060.48	26163	26512	Kim Jong Un
30.08	1060.52	1090.6	26513	27265	Fiorello
16.52	1090.64	1107.16	27266	27679	Flavio Insinna
11.44	1107.2	1118.64	27680	27966	Donald Trump
22.32	1118.68	1141	27967	28525	Naomi Campbell
7.52	1141.04	1148.56	28526	28714	Kim Jong Un
26.08	1148.6	1174.68	28715	29367	Alessio Zucchini
12.28	1174.72	1187	29368	29675	Giuseppe Conte
6.28	1187.04	1193.32	29676	29833	Ursula Von der Leyen
22.44	1193.36	1215.8	29834	30395	Xi Jinping
12.96	1215.84	1228.8	30396	30720	Mara Venier
22	1228.84	1250.84	30721	31271	Giovanni Floris
8.12	1250.88	1259	31272	31475	Flavio Insinna
9.44	1259.04	1268.48	31476	31712	Emmanuel Macron
18.96	1268.52	1287.48	31713	32187	Luca Zingaretti
56.12	1287.52	1343.64	32188	33591	Flavio Insinna
57.84	1343.68	1401.52	33592	35038	Angela Merkel
282.8	1401.56	1684.36	35039	42109	Raffaella Carra
8.6	1684.4	1693	42110	42325	Maria Soave
24.88	1693.04	1717.92	42326	42948	Micaela Palmieri
35.44	1717.96	1753.4	42949	43835	Giorgio Nardone
5.64	1753.44	1759.08	43836	43977	Donald Trump
2.56	1759.12	1761.68	43978	44042	Naomi Campbell
16.48	1761.72	1778.2	44043	44455	Carlo Conti
11.44	1778.24	1789.68	44456	44742	Ursula Von der Leyen
8.64	1789.72	1798.36	44743	44959	Gina Lollobrigida
47.56	1798.4	1845.96	44960	46149	Giuseppe Conte
21.16	1846	1867.16	46150	46679	Xi Jinping
11.16	1867.2	1878.36	46680	46959	Giorgio Nardone
10.2	1878.4	1888.6	46960	47215	Francesca Archibugi
146	1888.64	2034.64	47216	50866	Roberto Burioni
9.36	2034.68	2044.04	50867	51101	Gina Lollobrigida
23.72	2044.08	2067.8	51102	51695	Massimo Recalcati
12.12	2067.84	2079.96	51696	51999	Francesca Archibugi
12	2080	2092	52000	52300	Micaela Palmieri
57.92	2092.04	2149.96	52301	53749	Giuseppe Conte
21.76	2150	2171.76	53750	54294	Flavio Insinna
50.56	2171.8	2222.36	54295	55559	Fiorello
22.2	2222.4	2244.6	55560	56115	Flavio Insinna
8.76	2244.64	2253.4	56116	56335	Carlo Conti
76.36	2253.44	2329.8	56336	58245	Paola Egonu
18.08	2329.84	2347.92	58246	58698	Ursula Von der Leyen
21.32	2347.96	2369.28	58699	59232	Paola Egonu
197.84	2369.32	2567.16	59233	64179	Pierpaolo Pasolini
22.76	2567.2	2589.96	64180	64749	Giorgio Nardone
25.56	2590	2615.56	64750	65389	Ursula Von der Leyen
16.8	2615.6	2632.4	65390	65810	Flavio Insinna
4.16	2632.44	2636.6	65811	65915	Naomi Campbell
34.64	2636.64	2671.28	65916	66782	Angela Merkel
31.68	2671.32	2703	66783	67575	Carlo Conti
15.52	2703.04	2718.56	67576	67964	Kim Jong Un
25.16	2718.6	2743.76	67965	68594	Gina Lollobrigida
30.32	2743.8	2774.12	68595	69353	Giorgio Nardone
29.16	2774.16	2803.32	69354	70083	Massimo Recalcati
25.08	2803.36	2828.44	70084	70711	Mara Venier
58.4	2828.48	2886.88	70712	72172	Giorgia Meloni
12.84	2886.92	2899.76	72173	72494	Mara Venier
40.2	2899.8	2940	72495	73500	Pierpaolo Pasolini
5.64	2940.04	2945.68	73501	73642	Donald Trump
24.36	2945.72	2970.08	73643	74252	Massimo Recalcati
50.12	2970.12	3020.24	74253	75506	Francesca Archibugi
11.92	3020.28	3032.2	75507	75805	Flavio Insinna
6.72	3032.24	3038.96	75806	75974	Naomi Campbell
10.76	3039	3049.76	75975	76244	Angela Merkel
14.16	3049.8	3063.96	76245	76599	Donald Trump
65.56	3064	3129.56	76600	78239	Massimo Recalcati
30.48	3129.6	3160.08	78240	79002	Carlo Conti
20.48	3160.12	3180.6	79003	79515	Emmanuel Macron
41	3180.64	3221.64	79516	80541	Giorgia Meloni
20.04	3221.68	3241.72	80542	81043	Francesca Archibugi
13.96	3241.76	3255.72	81044	81393	Angela Merkel
24.4	3255.76	3280.16	81394	82004	Giuseppe Conte
7.36	3280.2	3287.56	82005	82189	Gina Lollobrigida
8.76	3287.6	3296.36	82190	82409	Mara Venier
31.6	3296.4	3328	82410	83200	Giovanni Floris
19.44	3328.04	3347.48	83201	83687	Mara Venier
3.92	3347.52	3351.44	83688	83786	Donald Trump
16.44	3351.48	3367.92	83787	84198	Ursula Von der Leyen
17.36	3367.96	3385.32	84199	84633	Carlo Conti
75.84	3385.36	3461.2	84634	86530	Ariana Grande
19.96	3461.24	3481.2	86531	87030	Xi Jinping
9.44	3481.24	3490.68	87031	87267	Giorgio Nardone
28.16	3490.72	3518.88	87268	87972	Gina Lollobrigida
4.88	3518.92	3523.8	87973	88095	Naomi Campbell
14.64	3523.84	3538.48	88096	88462	Mara Venier
18.56	3538.52	3557.08	88463	88927	Ursula Von der Leyen
10.36	3557.12	3567.48	88928	89187	Amadeus
15.88	3567.52	3583.4	89188	89585	Mara Venier
2.92	3583.44	3586.36	89586	89659	Donald Trump
17.32	3586.4	3603.72	89660	90093	Gina Lollobrigida
17.88	3603.76	3621.64	90094	90541	Angela Merkel
41.48	3621.68	3663.16	90542	91579	Ursula Von der Leyen
11.72	3663.2	3674.92	91580	91873	Carlo Conti
6.24	3674.96	3681.2	91874	92030	Gina Lollobrigida
13.88	3681.24	3695.12	92031	92378	Angela Merkel
15.52	3695.16	3710.68	92379	92767	Kim Jong Un
24.56	3710.72	3735.28	92768	93382	Giorgio Nardone
16.08	3735.32	3751.4	93383	93785	Giovanni Floris
13.72	3751.44	3765.16	93786	94129	Amadeus
161.8	3765.2	3927	94130	98175	Bill Gates
11.2	3927.04	3938.24	98176	98456	Naomi Campbell
9.6	3938.28	3947.88	98457	98697	Kim Jong Un
17.04	3947.92	3964.96	98698	99124	Massimo Recalcati
10.04	3965	3975.04	99125	99376	Naomi Campbell
15.2	3975.08	3990.28	99377	99757	Massimo Recalcati
12.56	3990.32	4002.88	99758	100072	Mara Venier
13.52	4002.92	4016.44	100073	100411	Carlo Conti
4.12	4016.48	4020.6	100412	100515	Donald Trump
15.12	4020.64	4035.76	100516	100894	Francesca Archibugi
17.64	4035.84	4053.48	100896	101337	Giorgio Nardone
9.52	4053.52	4063.04	101338	101576	Kim Jong Un
5.4	4063.08	4068.48	101577	101712	Donald Trump
6.4	4068.52	4074.92	101713	101873	Francesca Archibugi
21.92	4074.96	4096.88	101874	102422	Massimo Recalcati
